Column1,name,location,area_sqft,washrooms,bedrooms,city ,status,price,parking,ac,hardwood_floors,dishwasher,Fireplace,country,roofdeck, storage,pets
1,"2 BHK Apartment in Goyal And Co And HN Safal Aakash Residency Phase 2Shela, Ahmedabad","Shela, Ahmedabad",925,No Deposit2 bathroomsEast facing,2 BHK Rental Property in Shela Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"22,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
2,"3 BHK Apartment in Rococo Earth RosetteShilaj, Ahmedabad","Shilaj, Ahmedabad",1490,No Deposit3 bathrooms,3 BHK Rental Property in Shilaj Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"19,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
3,"3 BHK Villa in Surya VeduraChandkheda, Ahmedabad","Chandkheda, Ahmedabad",1950,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Chandkheda Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"21,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
4,"3 BHK ApartmentRanip, Ahmedabad","Ranip, Ahmedabad",1800,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Amraiwadi Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"23,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
5,"3 BHK Independent HouseNava Vadaj, Ahmedabad","Nava Vadaj, Ahmedabad",1800,No Deposit3 bathrooms,3 BHK Rental Property in Nava Vadaj Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"80,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
6,"3 BHK Apartment in Keshav Akshar ElysiumBopal, Ahmedabad","Bopal, Ahmedabad",1570,No Deposit3 bathrooms,3 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,UnfurnishedStatus,"20,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
7,"4 BHK Apartment in Setu Copper StoneThaltej, Ahmedabad","Thaltej, Ahmedabad",3400,No Deposit4 bathroomsWest facing,4 BHK Rental Property in Thaltej Ahmedabad:,Ahmedabad,FurnishedStatus,1 LPrice,not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
8,"4 BHK ApartmentThaltej, Ahmedabad","Thaltej, Ahmedabad",4020,No Deposit1 bathroomsNorthWest facing,4 BHK Rental Property in Thaltej Ahmedabad:,Ahmedabad,FurnishedStatus,1.7 LPrice,not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
9,"4 BHK Villa in Saumya AmrakadambSatellite, Ahmedabad","Satellite, Ahmedabad",4050,No Deposit5 bathroomsNorth facing,4 BHK Rental Property in Satellite Ahmedabad:,Ahmedabad,FurnishedStatus,1.25 LPrice,not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
10,"4 BHK Apartment in Shree Radha Jaldeep VertexAmbli, Ahmedabad","Ambli, Ahmedabad",3000,No Deposit4 bathroomsEast facing,4 BHK Rental Property in Ambli Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"51,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
11,"3 BHK Apartment in Shreem Gini Lake GardenzMakarba, Ahmedabad","Makarba, Ahmedabad",1140,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Makarba Ahmedabad:,Ahmedabad,FurnishedStatus,"37,500 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
